#NAME	SRR24889296	SRR24889327	SRR24889328	SRR24889329	SRR24889330	SRR24889331	SRR24889332	SRR24889333	SRR29195097	SRR29195098	SRR29195099	SRR29195100	SRR29195101	SRR29195102	SRR29195103	SRR29195104
d__Bacteria|p__Firmicutes|c__Clostridia|o__Clostridiales|f__Clostridiales_Family_XIII._Incertae_Sedis|s__[Eubacterium]_sulci	1.20E-05	0	0.016098839	0.001391024	0.001068987	0.007125262	0	0.000150682	0.002380366	0.005521025	0	0.003070459	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Pseudopropionibacterium|s__Pseudopropionibacterium_propionicum	0.014905084	0.000682361	0.001497566	0.000297728	0.000320336	0.001456838	0.010669395	0.00489716	0.000451449	0.000520851	0.000501693	0.000404008	0	0	2.34E-05	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_wadei	0.000409018	0.000511771	0.002620741	0.000368499	8.64E-05	0.000609223	0	0.000753409	0.002831815	0.001666725	0.010410134	0.014544279	2.22E-05	0.000328084	3.51E-05	0
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pasteurellales|f__Pasteurellaceae|g__Haemophilus|s__Haemophilus_parahaemolyticus	1.20E-05	0	0.000748783	0.004202357	4.32E-05	5.30E-05	0.009573224	0	0.006976935	0.013403243	0	0	0	0	0	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_metallidurans	0	0	0	2.44E-06	0	5.30E-05	0	0	0	0	0	0	0.034836293	0	0	0
d__Bacteria|p__Fusobacteria|c__Fusobacteriia|o__Fusobacteriales|f__Leptotrichiaceae|g__Leptotrichia|s__Leptotrichia_sp._oral_taxon_212	7.22E-05	0	0.005615874	0.000348976	0.001468508	0.005668424	0	0.001506818	0.003283264	0.010521199	0.002508466	0.001535229	0	0	0.000350689	0.000930233
d__Bacteria|p__Bacteroidetes|c__Flavobacteriia|o__Flavobacteriales|f__Flavobacteriaceae|g__Capnocytophaga|s__Capnocytophaga_gingivalis	0.001094724	0	0.000748783	0.000351417	0.003883628	0.009032395	0.002119263	0.005349205	0.002175162	0.000486128	0.000501693	0.000404008	0	0	0.007376149	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Burkholderiales|f__Burkholderiaceae|g__Cupriavidus|s__Cupriavidus_pinatubonensis	0	0	0	0	0	0	0	0	0	0	0	0	0.032940968	0	0	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_scopos	0.003163872	0.00017059	0.001871958	0.00024648	0.000575886	0.001483326	0.00036539	0	0.002872856	0.007083579	0.004138969	0.009049774	0	0	4.68E-05	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Schaalia|s__Schaalia_meyeri	6.01E-05	0.00017059	0.003743916	0.001295849	0.000424716	0.000158928	0	7.53E-05	0.001518509	0.002257023	0.004891509	0.01616031	0	0	1.17E-05	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._JS71	0.002105238	0.000426476	0.002995133	0.000898065	0.002436716	0.008396684	0	0.000979432	0.003488468	0.003576513	0.000250847	0.000969619	1.11E-05	0	0.001776822	0.001860465
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_oris	0.003981907	0.000767656	0.001497566	0.000712595	0.001284945	0.011999046	0.000511546	7.53E-05	0.003201182	0.002222299	0.001630503	0.002020039	0	0	0	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_pacaensis	0.005052571	0	0.001497566	0.00229397	0.000622676	0.001827669	0	0	0.002216203	0.004514046	0.003637276	0.003070459	0	0	0.001788511	0.001860465
d__Bacteria|p__Proteobacteria|c__Gammaproteobacteria|o__Pseudomonadales|f__Pseudomonadaceae|g__Pseudomonas|s__Pseudomonas_fluorescens	7.22E-05	0.00034118	0.000748783	0.02363521	2.52E-05	0.000158928	0	7.53E-05	0.000164163	3.47E-05	0.000501693	0.000161603	0.000875618	0.001312336	1.17E-05	0
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_meningitidis	0	0	0.004492699	0.00223052	0.005744458	0.002357429	0.004750073	0.000753409	0.002380366	0.000868086	0	0	0	0	0.002606785	0.001860465
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Propionibacteriales|f__Propionibacteriaceae|g__Cutibacterium|s__Cutibacterium_acnes	0.000360898	0.000682361	0.00224635	4.15E-05	4.68E-05	0.000211904	0.001169249	0.009945001	0.000164163	0.000243064	0.00075254	0.000646412	0	0.005249344	2.34E-05	0.005581395
d__Bacteria|p__Proteobacteria|c__Epsilonproteobacteria|o__Campylobacterales|f__Campylobacteraceae|g__Campylobacter|s__Campylobacter_concisus	0.002478166	0.001194132	0.003743916	0.002599019	0.00120576	0.003284507	0.000146156	0.000452046	0.000902897	0.003993194	0.002633889	0.003716871	7.76E-05	0	0	0
d__Bacteria|p__Bacteroidetes|c__Bacteroidia|o__Bacteroidales|f__Prevotellaceae|g__Prevotella|s__Prevotella_sp._oral_taxon_299	0.014881024	8.53E-05	0.002620741	0.001893745	5.40E-05	0.00013244	7.31E-05	0	0.00049249	0.000729192	0.002257619	0.002747253	0	0	2.34E-05	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Actinomycetales|f__Actinomycetaceae|g__Actinomyces|s__Actinomyces_viscosus	8.42E-05	0.00017059	0	0.000402665	0.000460708	0.00442349	0.001461561	0.001582159	0.002257244	0.002187576	0.00075254	0.003232062	0	0	0.007493045	0.000930233
d__Bacteria|p__Proteobacteria|c__Betaproteobacteria|o__Neisseriales|f__Neisseriaceae|g__Neisseria|s__Neisseria_elongata	0	0	0.004118308	0.001976719	0.001763649	0.000927079	0.009061678	0.002862955	0.001928917	0.001076426	0.000501693	0	2.22E-05	0	0.00061955	0
d__Bacteria|p__Actinobacteria|c__Actinobacteria|o__Micrococcales|f__Micrococcaceae|g__Rothia|s__Rothia_aeria	0.001070664	8.53E-05	0.001497566	0.00118115	0.001972408	0.011283871	0.000219234	0	0.00205204	0.004514046	0.00037627	0.000161603	0	0	0.000362378	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_equinus	0.000541347	8.53E-05	0.007487832	0.000712595	0.001194962	0.00026488	0.000146156	0	0.001723713	0.005173791	0.003386429	0.002747253	0	0	0.000549412	0
d__Bacteria|p__Firmicutes|c__Bacilli|o__Lactobacillales|f__Streptococcaceae|g__Streptococcus|s__Streptococcus_sp._I-P16	0.0016481	0.00017059	0.001497566	0.000727237	0.001871628	0.006039255	0.000292312	0.000602727	0.002093081	0.001979235	0.000250847	0.000969619	3.33E-05	0	0.00153134	0.00372093
d__Bacteria|p__Firmicutes|c__Bacilli|o__Bacillales|f__Staphylococcaceae|g__Staphylococcus|s__Staphylococcus_cohnii	8.42E-05	0.001279427	0.003743916	4.39E-05	3.60E-05	0.000238392	0.000803859	0.000602727	0.001272265	0.000277787	0.001755926	0.001535229	3.33E-05	0.003608924	0.000175344	0.006511628
