module	Number	Super.class	Class	Sub.class	Sub.class	Summary
mistyrose2	120	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
whitesmoke	457	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
dodgerblue1	502	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous	Miscellaneous
royalblue4	5	Nucleosides, nucleotides, and analogues	Miscellaneous	Miscellaneous	Miscellaneous	Nucleosides, nucleotides, and analogues
sienna2	12	Nucleosides, nucleotides, and analogues	Miscellaneous	Miscellaneous	Miscellaneous	Nucleosides, nucleotides, and analogues
goldenrod1	5	Miscellaneous	Miscellaneous	Terpene glycosides	null	Miscellaneous
firebrick1	6	Nucleosides, nucleotides, and analogues	Miscellaneous	Carbohydrates and carbohydrate conjugates	null	Nucleosides, nucleotides, and analogues
dodgerblue	6	Phenylpropanoids and polyketides	Benzene and substituted derivatives	Miscellaneous	null	Benzenoids
seashell4	8	Miscellaneous	Miscellaneous	Amino fatty acids [FA0110]	null	Miscellaneous
mediumorchid2	8	Miscellaneous	Miscellaneous	Miscellaneous	null	Miscellaneous
tomato	11	Miscellaneous	Miscellaneous	Amino acids, peptides, and analogues	null	Amino acids, peptides, and analogues
lightyellow3	5	Organic acids and derivatives	Miscellaneous	Miscellaneous	Miscellaneous	Organoheterocyclic compounds
violetred	5	Organoheterocyclic compounds	Miscellaneous	Miscellaneous	Miscellaneous	Organoheterocyclic compounds
lightgoldenrod2	5	Organoheterocyclic compounds	Miscellaneous	Miscellaneous	Miscellaneous	Organoheterocyclic compounds
violetred3	5	Organoheterocyclic compounds	Miscellaneous	Miscellaneous	Miscellaneous	Organoheterocyclic compounds
darkgoldenrod1	8	Organoheterocyclic compounds	Miscellaneous	Miscellaneous	Miscellaneous	Organoheterocyclic compounds
lightpink1	11	Organoheterocyclic compounds	Miscellaneous	Miscellaneous	Miscellaneous	Organoheterocyclic compounds
darksalmon	8	Peptides	Amino acids	Other amino acids [Fig]	Other amino acids [Fig]	Amino acids, peptides, and analogues
plum2	22	Phenylpropanoids and polyketides	Miscellaneous	Miscellaneous	Miscellaneous	Polyketides
lightsalmon4	5	Lipids and lipid-like molecules	Prenol lipids	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
pink3	12	Lipids and lipid-like molecules	Prenol lipids	Miscellaneous	Miscellaneous	Lipids and lipid-like molecules
dodgerblue4	9	Organoheterocyclic compounds	Miscellaneous	Purines and purine derivatives	Miscellaneous	Organoheterocyclic compounds
