Metabolites	Module	Class
HMDB0038922	peachpuff3	Others
HMDB0038951	mistyrose	Others
HMDB0040282	floralwhite	Others
HMDB0040283	orangered4	Others
HMDB0006045	ivory	Others
HMDB0072880	coral3	Lipids and lipid-like molecules
C05951	royalblue	Lipids and lipid-like molecules
HMDB0012109	dodgerblue1	Lipids and lipid-like molecules
HMDB0012503	lightseagreen	Lipids and lipid-like molecules
HMDB0014256	cyan	Lipids and lipid-like molecules
HMDB0015220	dodgerblue1	Lipids and lipid-like molecules
HMDB0015704	black	Lipids and lipid-like molecules
HMDB0062591	greenyellow	Lipids and lipid-like molecules
C07874	indianred4	Lipids and lipid-like molecules
C10988	coral2	Lipids and lipid-like molecules
HMDB0000552	indianred3	Lipids and lipid-like molecules
HMDB0032791	whitesmoke	Lipids and lipid-like molecules
HMDB0034759	indianred4	Lipids and lipid-like molecules
HMDB0038946	indianred3	Lipids and lipid-like molecules
HMDB0041080	whitesmoke	Lipids and lipid-like molecules
HMDB0041479	black	Lipids and lipid-like molecules
HMDB0060158	magenta2	Lipids and lipid-like molecules
HMDB0061634	indianred4	Lipids and lipid-like molecules
C00497	darkred	Lipids and lipid-like molecules
C01180	darkgoldenrod3	Lipids and lipid-like molecules
C01732	oldlace	Lipids and lipid-like molecules
C02679	chartreuse4	Lipids and lipid-like molecules
C03196	yellow3	Lipids and lipid-like molecules
C11758	firebrick4	Lipids and lipid-like molecules
HMDB0000407	darkturquoise	Lipids and lipid-like molecules
HMDB0032472	mediumaquamarine	Lipids and lipid-like molecules
HMDB0038588	whitesmoke	Lipids and lipid-like molecules
HMDB0041287	lightseagreen	Lipids and lipid-like molecules
HMDB0112161	orchid	Lipids and lipid-like molecules
HMDB0116433	deeppink1	Lipids and lipid-like molecules
HMDB0116443	greenyellow	Lipids and lipid-like molecules
C19632	lightseagreen	Lipids and lipid-like molecules
HMDB0000585	steelblue	Lipids and lipid-like molecules
HMDB0002060	darkseagreen4	Lipids and lipid-like molecules
